สถานี, มกราคม , กุมภาพันธ์ , มีนาคม , เมษายน , พฤษภาคม , มิถุนายน , กรกฎาคม , สิงหาคม , กันยายน , ตุลาคม , พฤศจิกายน , ธันวาคม ,รวม
 บางซื่อ ,"36,467","44,494","68,968","36,339","24,595","50,616","46,298","52,325","78,996","137,303","196,781","202,436","975,618"
 กำแพงเพชร ,"51,419","70,750","93,115","50,779","28,837","37,522","18,556","12,334","34,272","56,189","62,480","71,112","587,365"
 สวนจตุจักร ,"306,972","401,802","578,028","299,526","174,290","238,118","155,432","123,521","188,158","273,584","370,030","420,839","3,530,300"
 พหลโยธิน ,"180,567","240,805","330,496","173,667","98,037","136,939","81,651","57,443","115,006","173,223","224,889","263,672","2,076,395"
 ลาดพร้าว ,"170,644","210,949","287,489","154,440","101,467","127,508","87,209","71,062","103,946","142,304","183,017","204,223","1,844,258"
รัชดาภิเษก,"82,602","101,571","140,616","73,848","49,358","64,699","44,557","36,567","56,065","68,963","87,166","90,518","896,530"
สุทธิสาร,"180,321","214,380","294,111","157,051","104,104","129,749","88,013","68,870","101,467","131,970","171,606","186,596","1,828,238"
 ห้วยขวาง ,"234,229","289,903","392,147","211,949","140,703","176,884","118,984","94,159","143,565","193,622","249,817","281,901","2,527,863"
 ศูนย์วัฒน์ฯ ,"195,485","249,887","366,021","178,320","106,649","134,981","84,472","66,574","103,619","144,443","199,915","214,321","2,044,687"
 พระราม 9 ,"315,024","386,978","543,961","283,178","183,034","232,690","142,067","98,700","195,176","261,543","337,705","399,454","3,379,510"
 เพชรบุรี ,"288,322","397,432","626,658","291,599","183,486","238,463","156,624","126,462","183,181","246,866","350,481","390,375","3,479,949"
สุขุมวิท,"418,001","530,525","744,178","388,489","247,651","316,084","205,333","167,772","262,802","363,445","495,149","573,754","4,713,183"
ศูนย์ฯ สิริกิติ์,"117,560","147,814","209,330","109,645","66,567","83,280","59,283","50,014","70,269","94,726","130,782","136,952","1,276,222"
คลองเตย,"33,896","42,203","59,619","30,989","21,202","27,478","20,052","15,926","23,677","33,194","42,588","44,403","395,227"
ลุมพินี,"120,030","155,128","228,967","113,759","67,415","84,161","57,004","46,515","64,699","90,506","136,455","142,347","1,306,986"
สีลม,"243,998","303,501","430,069","221,492","139,991","182,529","124,316","107,880","145,440","196,399","274,050","299,447","2,669,112"
สามย่าน,"148,186","203,375","304,767","145,639","86,495","123,238","67,857","55,488","89,845","133,305","188,201","216,989","1,763,385"
หัวลำโพง,"88,028","118,242","161,002","86,099","52,175","65,038","42,865","36,364","49,957","73,287","99,218","115,987","988,262"
วัดมังกร,"123,819","219,104","194,925","98,484","58,221","72,561","46,028","41,827","65,621","109,509","128,608","171,013","1,329,720"
สามยอด,"80,853","110,138","143,330","76,134","48,999","59,747","37,235","31,822","51,695","73,364","93,968","111,721","919,006"
สนามไชย,"36,728","59,136","82,741","36,245","18,441","23,877","14,872","13,150","20,307","31,231","45,737","60,651","443,116"
อิสรภาพ,"64,965","88,056","114,114","62,488","42,175","53,381","36,278","29,645","42,544","58,118","75,268","86,513","753,545"
ท่าพระ,"72,576","90,788","122,472","69,264","49,333","61,615","42,496","34,381","50,208","67,910","87,214","96,523","844,780"
บางไผ่,"21,743","29,912","39,116","21,782","16,359","19,897","14,311","11,821","16,398","22,244","27,416","30,573","271,572"
บางหว้า,"111,648","148,817","203,636","108,380","68,790","89,829","58,793","46,255","74,220","107,217","141,213","159,318","1,318,116"
เพชรเกษม 48 ,"30,938","37,658","50,021","29,103","21,747","26,169","19,052","15,530","22,796","30,462","38,226","43,055","364,757"
ภาษีเจริญ ,"64,840","84,281","102,860","62,316","40,999","52,561","32,127","21,279","49,203","71,821","86,779","99,979","769,045"
บางแค ,"51,357","64,379","75,955","47,395","35,688","43,895","30,968","25,463","38,129","51,022","62,572","69,628","596,451"
หลักสอง,"162,826","217,713","287,238","165,164","106,288","136,615","90,733","73,146","115,071","165,337","216,452","242,156","1,978,739"
จรัญฯ 13,"31,977","40,701","54,961","31,613","23,772","29,158","20,779","17,875","24,519","31,633","40,167","44,960","392,115"
ไฟฉาย,"30,717","37,805","50,090","29,091","21,226","25,840","18,720","15,944","22,057","29,009","38,176","42,135","360,810"
บางขุนนนท์,"42,851","56,586","76,987","42,761","29,719","38,361","27,608","23,402","32,721","45,272","58,129","64,829","539,226"
บางยี่ขัน,"53,318","72,487","101,348","54,269","36,813","47,286","31,696","25,461","39,734","55,020","73,602","84,286","675,320"
สิรินธร,"34,243","46,808","65,698","33,856","23,991","29,727","22,538","18,936","26,492","34,610","46,548","52,451","435,898"
บางพลัด,"19,283","24,754","33,014","19,361","13,693","17,580","12,941","10,815","15,424","19,957","25,515","28,623","240,960"
บางอ้อ,"36,581","45,710","64,485","35,876","24,523","30,733","22,821","19,499","26,485","35,353","47,660","54,405","444,131"
บางโพ,"38,227","52,623","72,328","37,579","25,102","31,779","21,325","17,254","26,275","35,171","47,028","54,157","458,848"
รวม,"4,321,241","5,637,195","7,794,861","4,067,969","2,581,935","3,340,588","2,201,894","1,781,481","2,770,039","3,889,132","5,180,608","5,852,302","49,419,245"
