จำนวนผู้โดยสารรถไฟฟ้ามหานครสายเฉลิมรัชมงคล (สีน้ำงิน) รายสถานี ปี พ.ศ. 2564 ,,,,,,,,,,,,,จำนวนผู้โดยสารรถไฟฟ้ามหานครสายเฉลิมรัชมงคล (สีน้ำงิน) รายสถานี ปี พ.ศ. 2564 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สถานี, มกราคม ,, กุมภาพันธ์ ,, มีนาคม ,, เมษายน ,, พฤษภาคม ,, มิถุนายน ,,สถานี, กรกฎาคม ,, สิงหาคม ,, กันยายน ,, ตุลาคม ,, พฤศจิกายน ,, ธันวาคม ,,รวม,,,,,,,
, เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก ,, เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก ,,,,,,,,
 บางซื่อ ," 36,467 "," 30,940 "," 44,494 "," 39,526 "," 68,968 "," 62,351 "," 36,339 "," 32,112 "," 24,595 "," 23,030 "," 50,616 "," 55,690 ", บางซื่อ ," 46,298 "," 50,589 "," 52,325 "," 54,648 "," 78,996 "," 77,736 "," 137,303 "," 131,056 "," 196,781 "," 188,052 "," 202,436 "," 195,183 "," 1,916,531 ",,,,,,,
 กำแพงเพชร ," 51,419 "," 49,444 "," 70,750 "," 70,404 "," 93,115 "," 89,338 "," 50,779 "," 52,009 "," 28,837 "," 29,190 "," 37,522 "," 38,014 ", กำแพงเพชร ," 18,556 "," 18,624 "," 12,334 "," 12,002 "," 34,272 "," 33,190 "," 56,189 "," 53,735 "," 62,480 "," 60,502 "," 71,112 "," 70,862 "," 1,164,679 ",,,,,,,
 สวนจตุจักร ," 306,972 "," 287,449 "," 401,802 "," 381,793 "," 578,028 "," 548,245 "," 299,526 "," 281,604 "," 174,290 "," 164,406 "," 238,118 "," 222,733 ", สวนจตุจักร ," 155,432 "," 145,213 "," 123,521 "," 114,239 "," 188,158 "," 179,652 "," 273,584 "," 259,457 "," 370,030 "," 348,619 "," 420,839 "," 401,926 "," 6,865,636 ",,,,,,,
 พหลโยธิน ," 180,567 "," 187,610 "," 240,805 "," 249,265 "," 330,496 "," 345,042 "," 173,667 "," 180,471 "," 98,037 "," 102,391 "," 136,939 "," 142,037 ", พหลโยธิน ," 81,651 "," 84,023 "," 57,443 "," 59,397 "," 115,006 "," 121,338 "," 173,223 "," 181,341 "," 224,889 "," 234,870 "," 263,672 "," 277,089 "," 4,241,269 ",,,,,,,
 ลาดพร้าว ," 170,644 "," 178,622 "," 210,949 "," 221,483 "," 287,489 "," 304,366 "," 154,440 "," 161,943 "," 101,467 "," 106,591 "," 127,508 "," 133,792 ", ลาดพร้าว ," 87,209 "," 91,857 "," 71,062 "," 76,865 "," 103,946 "," 108,784 "," 142,304 "," 149,037 "," 183,017 "," 192,299 "," 204,223 "," 209,968 "," 3,779,865 ",,,,,,,
รัชดาภิเษก," 82,602 "," 63,098 "," 101,571 "," 75,028 "," 140,616 "," 101,291 "," 73,848 "," 55,382 "," 49,358 "," 36,976 "," 64,699 "," 49,030 ",รัชดาภิเษก," 44,557 "," 34,134 "," 36,567 "," 27,999 "," 56,065 "," 43,226 "," 68,963 "," 52,619 "," 87,166 "," 66,976 "," 90,518 "," 68,862 "," 1,571,151 ",,,,,,,
สุทธิสาร," 180,321 "," 172,685 "," 214,380 "," 204,846 "," 294,111 "," 280,639 "," 157,051 "," 149,641 "," 104,104 "," 101,691 "," 129,749 "," 126,394 ",สุทธิสาร," 88,013 "," 86,215 "," 68,870 "," 69,070 "," 101,467 "," 99,375 "," 131,970 "," 129,890 "," 171,606 "," 167,409 "," 186,596 "," 176,922 "," 3,593,015 ",,,,,,,
 ห้วยขวาง ," 234,229 "," 225,734 "," 289,903 "," 279,842 "," 392,147 "," 380,038 "," 211,949 "," 203,846 "," 140,703 "," 134,820 "," 176,884 "," 171,538 ", ห้วยขวาง ," 118,984 "," 114,830 "," 94,159 "," 94,799 "," 143,565 "," 140,990 "," 193,622 "," 188,588 "," 249,817 "," 246,699 "," 281,901 "," 272,217 "," 4,981,804 ",,,,,,,
 ศูนย์วัฒน์ฯ ," 195,485 "," 195,579 "," 249,887 "," 252,262 "," 366,021 "," 374,572 "," 178,320 "," 180,652 "," 106,649 "," 107,212 "," 134,981 "," 135,496 ", ศูนย์วัฒน์ฯ ," 84,472 "," 84,562 "," 66,574 "," 67,243 "," 103,619 "," 103,142 "," 144,443 "," 144,286 "," 199,915 "," 199,407 "," 214,321 "," 214,860 "," 4,103,960 ",,,,,,,
